,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
72,Smiling Faces Sometimes,Dead Presidents Volume II / Music From The Motion Picture,Various Artists,1995,196893,0,0.555,0.344,0.555,0.554,5.04e-06,0.0729,-8.855,0.025,105.24,4
73,It's A Shame,True Motown / Spectrum 3 CD Set,Various Artists,2006-01-01,191293,0,0.389,0.084,0.389,0.843,0.0,0.199,-9.018,0.0932,198.161,4
74,Ain't That Peculiar - Single Version,Moods Of Marvin Gaye,Marvin Gaye,1966-05-23,179693,45,0.563,0.18,0.563,0.776,0.0,0.618,-9.391,0.0414,81.129,4
75,We Are Family,We Are Family,Sister Sledge,1979-02-15,216733,70,0.784,0.3,0.784,0.893,1.57e-05,0.272,-5.153,0.0923,118.738,4
76,Georgia On My Mind (Remastered),Las 66 Favoritas de Jose María Íñigo y José Ramón Pardo. Vol. 1 (1958-1961) [Remastered]],Various Artists,2011-05-10,217533,49,0.183,0.785,0.183,0.305,0.0,0.0883,-7.857,0.0297,61.171,4
77,Hit The Road Jack,Universal Presenta...Clásicas Del Rock & Roll,Various Artists,2011-01-01,117573,44,0.554,0.662,0.554,0.719,0.0,0.675,-8.335,0.155,172.866,4
78,Les Fleurs,Come To My Garden,Minnie Riperton,1970-11-01,199293,61,0.441,0.665,0.441,0.499,2.87e-06,0.211,-9.453,0.0484,151.878,4
79,Lovin' You,Capitol Gold: The Best Of Minnie Riperton,Minnie Riperton,1993-01-01,203506,58,0.392,0.903,0.392,0.213,1.01e-06,0.12,-12.494,0.0415,100.518,3
80,(What A) Wonderful World - Mono,The Wonderful World Of Sam Cooke,Sam Cooke,1960-02,128786,66,0.686,0.7,0.686,0.672,0.0,0.135,-5.523,0.0323,128.55,4
81,Bring It On Home To Me,30 Greatest Hits: Portrait of a Legend 1951-1964,Sam Cooke,2003-06-17,165280,63,0.482,0.617,0.482,0.569,0.0,0.155,-5.897,0.0328,70.843,4
82,A Change Is Gonna Come,Ain't That Good News,Sam Cooke,1964-03-01,191160,68,0.212,0.723,0.212,0.383,0.0,0.299,-10.071,0.0347,173.79,3
83,Inner City Blues (Make Me Wanna Holler),What's Going On - 40th Anniversary (Super Deluxe),Marvin Gaye,1971-05-21,331960,25,0.641,0.705,0.641,0.605,0.0888,0.0761,-9.177,0.0332,94.075,4
84,"Hold On, I'm Comin'","Hold On, I'm Comin'",Sam & Dave,1966,155706,67,0.803,0.196,0.803,0.338,0.038,0.097,-14.029,0.0349,106.841,4
85,Time Is Tight,Soul Six Pack,Booker T. & the M.G.'s,2009-01-01,194920,0,0.778,0.0808,0.778,0.524,0.9,0.108,-11.775,0.0424,134.561,4
86,I Like What You're Doing (To Me),Carla Thomas - Stax Profiles,Carla Thomas,2005-03-02,176320,0,0.718,0.0226,0.718,0.352,0.0,0.152,-13.705,0.0383,114.094,4
87,I Got To Be Myself - Single Version,The Very Best Of The Staple Singers,The Staple Singers,2007-01-01,215880,0,0.772,0.317,0.772,0.528,0.000847,0.776,-9.213,0.0495,113.299,4
88,I Wanna Play With You,The Complete Stax / Volt Soul Singles (Vol. 3: 1972-1975),Various Artists,2015-02-03,167706,0,0.755,0.226,0.755,0.73,0.00157,0.134,-9.476,0.0321,118.739,4
89,Knock on Wood,Knock On Wood,Eddie Floyd,1967,189840,60,0.864,0.277,0.864,0.346,0.00521,0.0514,-12.918,0.0365,105.164,4
90,Happy,"Move On Up, Vol. 2 – The Very Best Of Northern Soul",Various Artists,2016-03-04,152720,0,0.64,0.226,0.64,0.51,0.0,0.074,-9.633,0.0289,132.778,4
91,Soul Limbo,Soul Limbo,Booker T. & the M.G.'s,1968,142106,0,0.704,0.102,0.704,0.672,0.796,0.0845,-10.502,0.0431,124.305,4
92,Ain't That Good,Rare Stamps (Reissue),Eddie Floyd,1993-01-01,164733,0,0.713,0.0775,0.713,0.572,2.83e-06,0.227,-11.335,0.0336,137.046,4
93,Do Your Thing,Greatest Hits Singles (Remastered),Isaac Hayes,1991,197000,0,0.675,0.00304,0.675,0.348,0.263,0.285,-15.636,0.0496,150.794,4
94,Theme From Shaft,Ultimate Isaac Hayes: Can You Dig It?,Isaac Hayes,2005-11-01,196333,0,0.502,0.0416,0.502,0.679,1.67e-05,0.218,-12.524,0.0502,119.955,4
95,Put Your World In My World (Best Of Two Worlds),"The Complete Stax / Volt Soul Singles, Vol. 2: 1968-1971",Various Artists,2014-12-12,174933,0,0.559,0.147,0.559,0.884,0.0,0.62,-5.591,0.0663,146.45,4
96,(Do The) Push And Pull - Pt. 1,Classic Stax,Various Artists,2016-04-08,197506,0,0.73,0.228,0.73,0.665,0.00298,0.148,-12.045,0.0548,104.78,4
97,Respect Yourself,The Very Best Of The Staple Singers,The Staple Singers,2007-01-01,211680,0,0.828,0.16,0.828,0.669,0.00333,0.0756,-8.637,0.0254,109.964,4
98,Who's Making Love,Stax Number Ones,Various Artists,2010-01-01,168453,0,0.766,0.093,0.766,0.541,5.84e-06,0.208,-6.42,0.0367,115.071,4
99,I'll Take You There,The Very Best Of The Staple Singers,The Staple Singers,2007-01-01,196826,0,0.846,0.0904,0.846,0.595,1.96e-06,0.063,-8.372,0.0439,101.632,4
