,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
98,"Symphony No. 1 in D major, Wq. 183/1: Symphony No. 1 in D major, Wq. 183/1: I. Allegro di molto","C.P.E.Bach: Symphonies 1-4, Cello Concerto in A",Carl Philipp Emanuel Bach,2006-11-14,377200,34,0.912,0.292,0.164,0.0296,0.177,-17.792,0.0342,149.46,4
99,"Six Pieces for Piano, Volume 2: 4. La Valse d'Amélie","Tiersen: Six Pieces for Piano, Volume 2: 4. La Valse d'Amélie",Lang Lang,2019-02-08,170360,46,0.985,0.245,0.0942,0.893,0.0631,-20.079,0.0395,71.782,3
100,"Ravel: Pavane pour une infante défunte, M. 19",Ravel: Complete Works for Solo Piano,Maurice Ravel,2016-01-15,346586,62,0.994,0.491,0.0176,0.927,0.0985,-26.911,0.0644,125.793,3
101,"Symphony No. 104 in D Major, Hob.I:104 ""London"": 4. Finale (Spiritoso) - Live",Haydn – Mozart,Australian Chamber Orchestra,2019-08-30,381466,44,0.848,0.461,0.175,0.762,0.0985,-17.217,0.037,73.559,4
102,"Clarinet Concerto in A Major, K. 622: II. Adagio",Mozart Melodies,Wolfgang Amadeus Mozart,2019-07-13,533626,0,0.981,0.0671,0.0243,0.784,0.0683,-25.15,0.0446,71.36,3
103,3 Gymnopédies: No.1,Satie: 3 Gymnopédies; 6 Gnossiennes etc.,Erik Satie,1984-01-01,190560,0,0.996,0.425,0.00472,0.953,0.0985,-37.89,0.0479,81.93,3
104,Appalachian Spring: VII. Doppio movimento,"Copland: Appalachian Spring, Rodeo, Billy the Kid & Fanfare for the Common Man",Aaron Copland,1960,183266,46,0.978,0.186,0.124,0.865,0.111,-15.271,0.0434,77.903,4
105,"An der schönen blauen Donau, Op.314","Strauss, J.: An der schönen blauen Donau (The Blue Danube)",Johann Strauss II,1982-01-01,707173,0,0.975,0.233,0.0252,0.604,0.143,-24.824,0.0346,94.736,4
106,Violin Concerto BWV 1042 in E Major: Violin Concerto BWV 1042 in E Major: I. Allegro,Bach: Violin Concertos,Johann Sebastian Bach,2013-03-25,453506,52,0.829,0.441,0.319,0.0,0.0765,-13.99,0.0392,99.419,4
107,Les Baricades Mistérieuses (6e ordre),Couperin: Tic Toc Choc,François Couperin,2007-11-06,100346,48,0.99,0.191,0.0946,0.933,0.101,-25.59,0.0365,110.502,4
108,"Les Boréades, RCT 31, Acte IV, Scène IV: Entrée pour les Muses, les Zéphyres, les Saisons, les Heures et les Arts",Rameau - The Sound of Light,Jean-Philippe Rameau,2014-10-17,421706,35,0.826,0.165,0.139,0.191,0.158,-18.908,0.042,130.285,4
109,"Rêverie, L. 68: Rêverie",Debussy Piano Edition,Claude Debussy,2012-01-01,257000,59,0.994,0.296,0.00896,0.91,0.0815,-31.948,0.0394,69.44,3
110,"Violin Concerto In E Minor, Op.64, MWV O14: 1. Allegro molto appassionato",Mendelssohn: Violin Concerto / Bruch: Violin Concerto / Scottish Fantasy,Kyung Wha Chung,1982-01-01,730666,0,0.917,0.278,0.151,0.122,0.273,-19.607,0.042,99.212,4
111,"Concerto III, en Sol Majeur, BWV 1048 - I. [Allegro]",Bach: Brandenburg Concertos,Johann Sebastian Bach,2010-04-06,341760,22,0.948,0.479,0.301,0.811,0.103,-18.618,0.0392,98.065,4
112,Il barbiere di Siviglia (The Barber of Seville): Il Barbiere di Siviglia (The Barber of Seville): Overture,"Opera Without Words - The Most Famous Overtures, Preludes, and Interludes in Opera",Various Artists,2008-12-16,466000,8,0.844,0.292,0.0777,0.444,0.0797,-24.149,0.0639,171.181,4
113,"In Paradisum (Requiem Op. 48; 1893 version, ed. John Rutter)",Classical Chillout,Various Artists,2009-04-27,208280,0,0.97,0.206,0.116,0.959,0.144,-23.543,0.0464,114.943,4
114,"Pavane, Op. 50","Faure: Requiem, Op. 48 / Pavane, Op. 50",Gabriel Fauré,2005-01-01,275680,45,0.978,0.124,0.0179,0.639,0.114,-32.271,0.0404,96.272,4
115,"Holst: The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity (Excerpt)",50 Best Classics,Various Artists,2010-02-26,288493,31,0.966,0.293,0.296,0.81,0.15,-12.106,0.0376,127.151,4
116,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Beethoven: Piano Sonatas, Vol.3",Ludwig van Beethoven,2007-09-25,315426,67,0.995,0.184,0.00527,0.887,0.173,-37.264,0.0432,170.612,3
117,"Adagio for Strings, Op. 11",Romantic Favorites for Strings (Expanded Edition),Leonard Bernstein,1964,596226,50,0.912,0.0876,0.0865,0.896,0.0906,-20.431,0.0457,86.437,4
118,"Pomp and Circumstance, Op. 39: No. 1, March in D Major",The 50 Greatest Pieces of Classical Music,Various Artists,2009-11-23,345666,36,0.689,0.274,0.434,0.76,0.0705,-11.61,0.0433,131.962,4
119,"Mozart: Piano Concerto No. 23 in A Major, K. 488: I. Allegro",Mozart - Piano Concertos,Wolfgang Amadeus Mozart,2003-01-15,650744,32,0.989,0.264,0.0782,0.906,0.19,-23.093,0.0384,137.183,4
120,"Pachelbel: Canon and Gigue in D Major, P. 37: I. Canon",Mozart: Academy in Concert,Sir Neville Marriner,1986,301586,59,0.744,0.128,0.132,0.942,0.107,-17.67,0.0353,85.314,4
121,"Debussy: Suite bergamasque, CD 82, L. 75: III. Clair de Lune",Piano Favorites,Moura Lympany,1995-10-13,300733,27,0.995,0.386,0.0182,0.925,0.0684,-26.718,0.045,67.166,3
122,"Rachmaninoff: Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (Excerpt)",The Most Relaxing Classical Album in The World....Ever!,Various Artists,1997-01-01,272626,0,0.988,0.172,0.0356,0.884,0.075,-24.146,0.0385,103.38,5
123,Mascagni: Cavalleria rusticana: Intermezzo,Mascagni: Cavalleria Rusticana/Leoncavallo: I Pagliacci,Riccardo Muti,1979,223786,45,0.769,0.101,0.115,0.891,0.406,-17.553,0.0392,84.976,4
